"date","site","island","stratum","month_survey","s_year","s_month"
"2017-05-23","FI_SAV_1","FI","SAV","2017-05","2017","05"
"2017-05-23","FI_WAT_1","FI","WAT","2017-05","2017","05"
"2017-05-23","LH_SAV_1","LH","SAV","2017-05","2017","05"
"2017-05-23","LH_WAT_1","LH","WAT","2017-05","2017","05"
"2017-05-25","DI_SAV_1","DI","SAV","2017-05","2017","05"
"2017-05-25","DI_WAT_1","DI","WAT","2017-05","2017","05"
"2017-06-05","FI_SAV_1","FI","SAV","2017-06","2017","06"
"2017-06-05","FI_WAT_1","FI","WAT","2017-06","2017","06"
"2017-06-05","LH_SAV_1","LH","SAV","2017-06","2017","06"
"2017-06-05","LH_WAT_1","LH","WAT","2017-06","2017","06"
"2017-06-07","DI_SAV_1","DI","SAV","2017-06","2017","06"
"2017-06-07","DI_SAV_2","DI","SAV","2017-06","2017","06"
"2017-06-07","DI_WAT_1","DI","WAT","2017-06","2017","06"
"2017-06-07","DI_WAT_2","DI","WAT","2017-06","2017","06"
"2017-06-29","FI_SAV_1","FI","SAV","2017-07","2017","07"
"2017-06-29","FI_SAV_2","FI","SAV","2017-07","2017","07"
"2017-06-29","FI_WAT_1","FI","WAT","2017-07","2017","07"
"2017-06-29","FI_WAT_2","FI","WAT","2017-07","2017","07"
"2017-06-29","LH_SAV_1","LH","SAV","2017-07","2017","07"
"2017-06-29","LH_SAV_2","LH","SAV","2017-07","2017","07"
"2017-06-29","LH_WAT_1","LH","WAT","2017-07","2017","07"
"2017-06-29","LH_WAT_2","LH","WAT","2017-07","2017","07"
"2017-07-31","DI_SAV_1","DI","SAV","2017-08","2017","08"
"2017-07-31","DI_SAV_2","DI","SAV","2017-08","2017","08"
"2017-07-31","DI_WAT_1","DI","WAT","2017-08","2017","08"
"2017-07-31","DI_WAT_2","DI","WAT","2017-08","2017","08"
"2017-08-02","FI_SAV_1","FI","SAV","2017-08","2017","08"
"2017-08-02","FI_SAV_2","FI","SAV","2017-08","2017","08"
"2017-08-02","FI_WAT_1","FI","WAT","2017-08","2017","08"
"2017-08-02","FI_WAT_2","FI","WAT","2017-08","2017","08"
"2017-08-02","LH_SAV_1","LH","SAV","2017-08","2017","08"
"2017-08-02","LH_SAV_2","LH","SAV","2017-08","2017","08"
"2017-08-02","LH_WAT_1","LH","WAT","2017-08","2017","08"
"2017-08-02","LH_WAT_2","LH","WAT","2017-08","2017","08"
"2017-08-28","FI_SAV_1","FI","SAV","2017-09","2017","09"
"2017-08-28","FI_SAV_2","FI","SAV","2017-09","2017","09"
"2017-08-28","FI_WAT_1","FI","WAT","2017-09","2017","09"
"2017-08-28","FI_WAT_2","FI","WAT","2017-09","2017","09"
"2017-08-28","LH_SAV_1","LH","SAV","2017-09","2017","09"
"2017-08-28","LH_SAV_2","LH","SAV","2017-09","2017","09"
"2017-08-28","LH_WAT_1","LH","WAT","2017-09","2017","09"
"2017-08-28","LH_WAT_2","LH","WAT","2017-09","2017","09"
"2017-08-30","DI_SAV_1","DI","SAV","2017-09","2017","09"
"2017-08-30","DI_SAV_2","DI","SAV","2017-09","2017","09"
