station,date_time_pdt,survey_year,survey_month,taxon_original,taxon_current,genus,species,kingdom,phylum,class,algal_group,organisms_per_ml,cells_per_ml,biovolume_cubic_micron_per_ml,gald,phyto_form,quality_check,debris
FI_SAV_1,2017-05-23 15:29:00,2017,05,Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,450.4,450.4,64878.9,6.5,i,good,high
FI_SAV_1,2017-05-23 15:29:00,2017,05,Nitzschia palea,None,Nitzschia,palea,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,450.4,450.4,64878.9,24.1,i,good,high
FI_SAV_1,2017-05-23 15:29:00,2017,05,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,1801.7,1801.7,259515.8,1.9,i,good,high
FI_SAV_1,2017-05-23 15:29:00,2017,05,Drepanochloris nannoselene,None,Drepanochloris,nannoselene,Plantae,Chlorophyta,Chlorophyceae,Green Algae,1801.7,1801.7,259515.8,4.5999999999999996,i,good,high
FI_SAV_1,2017-05-23 15:29:00,2017,05,cf. Ochromonas sp.,None,Ochromonas,sp.,Chromista,Ochrophyta,Chrysophyceae,Chrysophytes,450.4,450.4,64878.9,7.4,i,good,high
FI_SAV_1,2017-05-23 15:29:00,2017,05,Plagioselmis nannoplanctica,None,Plagioselmis,nannoplanctica,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,450.4,450.4,64878.9,10.199999999999999,i,good,high
FI_SAV_1,2017-05-23 15:29:00,2017,05,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Plagioselmis,prolonga,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,900.9,900.9,129757.9,5.6,i,good,high
FI_SAV_1,2017-05-23 15:29:00,2017,05,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,193684.8,403585.1,58131531.1,0.65,c,good,high
FI_SAV_1,2017-05-23 15:29:00,2017,05,cf. Chroomonas rosenbergii,Chroomonas coerulea,Chroomonas,rosenbergii,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,450.4,450.4,64878.9,9.3000000000000007,i,good,high
FI_SAV_1,2017-05-23 15:29:00,2017,05,cf. Rhodomonas sp.,cf. Plagioselmis sp.,Rhodomonas,sp.,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,450.4,450.4,64878.9,14.8,i,good,high
FI_WAT_1,2017-05-23 15:38:00,2017,05,Achnanthidium sp.,None,Achnanthidium,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,450.4,450.4,64878.9,7.4,i,good,moderate
FI_WAT_1,2017-05-23 15:38:00,2017,05,cf. Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,450.4,450.4,64878.9,4.5999999999999996,i,good,moderate
FI_WAT_1,2017-05-23 15:38:00,2017,05,Nitzschia sp.,None,Nitzschia,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,450.4,450.4,64878.9,11.1,i,fragmented,moderate
FI_WAT_1,2017-05-23 15:38:00,2017,05,Chlorella sp.,None,Chlorella,sp.,Plantae,Chlorophyta,Chlorophyceae,Green Algae,7657.3,7657.3,1102942,3.7,i,good,moderate
FI_WAT_1,2017-05-23 15:38:00,2017,05,cf. Plagioselmis prolonga,cf. Teleaulax amphioxeia,Plagioselmis,prolonga,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,1351.3,1351.3,194636.8,6.5,i,good,moderate
FI_WAT_1,2017-05-23 15:38:00,2017,05,Chroococcus microscopicus,Eucapsis microscopica,Chroococcus,microscopicus,Bacteria,Cyanobacteria,Cyanophyceae,Cyanobacteria,188279.6,393675.6,56704194.4,0.65,c,good,moderate
FI_WAT_1,2017-05-23 15:38:00,2017,05,cf. Chroomonas rosenbergii,Chroomonas coerulea,Chroomonas,rosenbergii,Chromista,Cryptophyta,Cryptophyceae,Cryptophytes,900.9,900.9,129757.9,9.3000000000000007,i,good,moderate
LH_WAT_1,2017-05-23 16:05:00,2017,05,Achnanthidium sp.,None,Achnanthidium,sp.,Chromista,Ochrophyta,Bacillariophyceae,Pennate Diatoms,375.4,375.4,54065.8,9.6,i,good,moderate
LH_WAT_1,2017-05-23 16:05:00,2017,05,cf. Cyclotella sp.,None,Cyclotella,sp.,Chromista,Ochrophyta,Coscinodiscophyceae,Centric Diatoms,375.4,375.4,54065.8,5.6,i,good,moderate
