taxon,genus,species,taxon_level
Achnanthidium sp.,Achnanthidium,sp.,genus
cf. Amoeba sp.,Amoeba,sp.,genus
Amphora sp.,Amphora,sp.,genus
cf. Ankistrodesmus sp.,Ankistrodesmus,sp.,genus
cf. Aphanizomenon sp.,Aphanizomenon,sp.,genus
Aulacoseira sp.,Aulacoseira,sp.,genus
cf. Bacillaria sp.,Bacillaria,sp.,genus
Chaetoceros sp.,Chaetoceros,sp.,genus
cf. Chlamydomonas sp.,Chlamydomonas,sp.,genus
Chlamydomonas sp.,Chlamydomonas,sp.,genus
Chlorella sp.,Chlorella,sp.,genus
cf. Chlorella sp.,Chlorella,sp.,genus
Chlorella spp.,Chlorella,spp.,genus
Chroococcus sp.,Chroococcus,sp.,genus
cf. Chroococcus sp.,Chroococcus,sp.,genus
cf. Chroomonas sp.,Chroomonas,sp.,genus
cf. Chrysochromulina sp.,Chrysochromulina,sp.,genus
Chrysococcus sp.,Chrysococcus,sp.,genus
Cocconeis sp.,Cocconeis,sp.,genus
cf. Cocconeis sp.,Cocconeis,sp.,genus
Craticula sp.,Craticula,sp.,genus
cf. Craticula sp.,Craticula,sp.,genus
cf. Cryptomonas sp.,Cryptomonas,sp.,genus
Cryptomonas sp.,Cryptomonas,sp.,genus
cf. Cyanodictyon sp.,Cyanodictyon,sp.,genus
Cyclotella sp.,Cyclotella,sp.,genus
cf. Cyclotella sp.,Cyclotella,sp.,genus
Cyclotella spp.,Cyclotella,spp.,genus
Desmodesmus sp.,Desmodesmus,sp.,genus
cf. Encyonema sp.,Encyonema,sp.,genus
Encyonema sp.,Encyonema,sp.,genus
Entomoneis sp.,Entomoneis,sp.,genus
Fragilaria sp.,Fragilaria,sp.,genus
Gomphonema sp.,Gomphonema,sp.,genus
cf. Gymnodinium sp.,Gymnodinium,sp.,genus
cf. Hemiselmis sp.,Hemiselmis,sp.,genus
cf. Heteroleibleinia sp.,Heteroleibleinia,sp.,genus
cf. Kephyrion sp.,Kephyrion,sp.,genus
Kephyrion sp.,Kephyrion,sp.,genus
Kirchneriella sp.,Kirchneriella,sp.,genus
cf. Kirchneriella sp.,Kirchneriella,sp.,genus
cf. Leptolyngbya sp.,Leptolyngbya,sp.,genus
cf. Licmophora sp.,Licmophora,sp.,genus
cf. Microcystis sp.,Microcystis,sp.,genus
Monoraphidium sp.,Monoraphidium,sp.,genus
cf. Navicula sp.,Navicula,sp.,genus
Navicula sp.,Navicula,sp.,genus
Navicula spp.,Navicula,spp.,genus
Nitzschia sp.,Nitzschia,sp.,genus
cf. Nitzschia sp.,Nitzschia,sp.,genus
Nitzschia spp.,Nitzschia,spp.,genus
cf. Ochromonas sp.,Ochromonas,sp.,genus
Ochromonas sp.,Ochromonas,sp.,genus
cf. Ochromonas spp.,Ochromonas,spp.,genus
Oedogonium sp.,Oedogonium,sp.,genus
cf. Oocystis sp.,Oocystis,sp.,genus
cf. Pedinomonas sp.,Pedinomonas,sp.,genus
Peridinium sp.,Peridinium,sp.,genus
Plagioselmis sp.,Plagioselmis,sp.,genus
Plagioselmis spp.,Plagioselmis,spp.,genus
cf. Planktolyngbya sp.,Planktolyngbya,sp.,genus
Planktolyngbya sp.,Planktolyngbya,sp.,genus
cf. Planktothrix sp.,Planktothrix,sp.,genus
Planothidium sp.,Planothidium,sp.,genus
cf. Psammothidium sp.,Psammothidium,sp.,genus
cf. Pseudanabaena sp.,Pseudanabaena,sp.,genus
Pseudanabaena sp.,Pseudanabaena,sp.,genus
cf. Pseudostaurosira sp.,Pseudostaurosira,sp.,genus
Pyramimonas sp.,Pyramimonas,sp.,genus
cf. Pyramimonas sp.,Pyramimonas,sp.,genus
cf. Rhodomonas sp.,Rhodomonas,sp.,genus
cf. Rhoicosphenia sp.,Rhoicosphenia,sp.,genus
Scenedesmus sp.,Scenedesmus,sp.,genus
Sellaphora sp.,Sellaphora,sp.,genus
cf. Skeletonema sp.,Skeletonema,sp.,genus
Skeletonema sp.,Skeletonema,sp.,genus
Snowella sp.,Snowella,sp.,genus
Strobilidium sp.,Strobilidium,sp.,genus
cf. Surirella sp.,Surirella,sp.,genus
cf. Synechococcus sp.,Synechococcus,sp.,genus
Synechococcus sp.,Synechococcus,sp.,genus
cf. Thalassiosira sp.,Thalassiosira,sp.,genus
Trachelomonas sp.,Trachelomonas,sp.,genus
cf. Tryblionella sp.,Tryblionella,sp.,genus
cf. Ulnaria sp.,Ulnaria,sp.,genus
Ulnaria sp.,Ulnaria,sp.,genus
cf. Westella sp.,Westella,sp.,genus
Achnanthidium catenatum,Achnanthidium,catenatum,species
Achnanthidium exiguum,Achnanthidium,exiguum,species
Achnanthidium minutissimum,Achnanthidium,minutissimum,species
Actinastrum hantzschii,Actinastrum,hantzschii,species
Aulacoseira alpigena,Aulacoseira,alpigena,species
Aulacoseira granulata,Aulacoseira,granulata,species
Bacillaria paxillifera,Bacillaria,paxillifera,species
Chroococcus microscopicus,Chroococcus,microscopicus,species
Chroococcus minimus,Chroococcus,minimus,species
cf. Chroococcus minutus,Chroococcus,minutus,species
Chroococcus minutus,Chroococcus,minutus,species
Chroococcus planctonicus,Chroococcus,planctonicus,species
cf. Chroomonas nordstedtii ,Chroomonas,nordstedtii ,species
cf. Chroomonas rosenbergii,Chroomonas,rosenbergii,species
Cocconeis cf. pediculus,Cocconeis,pediculus,species
Cocconeis placentula,Cocconeis,placentula,species
Coelastrum microporum,Coelastrum,microporum,species
Cryptomonas erosa,Cryptomonas,erosa,species
Cryptomonas ovata,Cryptomonas,ovata,species
Cyclotella meneghiniana,Cyclotella,meneghiniana,species
Cyclotella cf. meneghiniana,Cyclotella,meneghiniana,species
Diatoma moniliformis,Diatoma,moniliformis,species
Drepanochloris nannoselene,Drepanochloris,nannoselene,species
Encyonema cf. silesiacum,Encyonema,silesiacum,species
Encyonema silesiacum,Encyonema,silesiacum,species
Entomoneis cf. paludosa,Entomoneis,paludosa,species
Epithemia turgida,Epithemia,turgida,species
Eucapsis microscopica,Eucapsis,microscopica,species
Fragilaria tenera,Fragilaria,tenera,species
Geissleria decussis,Geissleria,decussis,species
Gomphonema augur,Gomphonema,augur,species
Gomphonema olivaceum,Gomphonema,olivaceum,species
Gomphonema parvulum,Gomphonema,parvulum,species
Gyrosigma acuminatum,Gyrosigma,acuminatum,species
Lagerheimia genevensis,Lagerheimia,genevensis,species
Melosira varians,Melosira,varians,species
Merismopedia tenuissima,Merismopedia,tenuissima,species
Monoraphidium contortum,Monoraphidium,contortum,species
Monoraphidium convolutum,Monoraphidium,convolutum,species
Monoraphidium minutum,Monoraphidium,minutum,species
Monoraphidium tortile,Monoraphidium,tortile,species
Navicula gregaria,Navicula,gregaria,species
Nitzschia cf. agnita,Nitzschia,agnita,species
Nitzschia dissipata,Nitzschia,dissipata,species
Nitzschia fruticosa,Nitzschia,fruticosa,species
Nitzschia cf. gracilis,Nitzschia,gracilis,species
Nitzschia cf. inconspicua,Nitzschia,inconspicua,species
Nitzschia inconspicua,Nitzschia,inconspicua,species
Nitzschia linearis,Nitzschia,linearis,species
Nitzschia palea,Nitzschia,palea,species
Nitzschia cf. sigma,Nitzschia,sigma,species
Plagioselmis lacustris,Plagioselmis,lacustris,species
Plagioselmis nannoplanctica,Plagioselmis,nannoplanctica,species
cf. Plagioselmis prolonga,Plagioselmis,prolonga,species
Plagioselmis prolonga,Plagioselmis,prolonga,species
Plagioselmis cf. prolonga,Plagioselmis,prolonga,species
Planothidium dubium,Planothidium,dubium,species
Pseudanabaena cf. galeata,Pseudanabaena,galeata,species
Pseudanabaena limnetica,Pseudanabaena,limnetica,species
cf. Rhodomonas lacustris,Rhodomonas,lacustris,species
Rhodomonas lacustris,Rhodomonas,lacustris,species
Rhoicosphenia abbreviata,Rhoicosphenia,abbreviata,species
Skeletonema cf. potamos,Skeletonema,potamos,species
Skeletonema potamos,Skeletonema,potamos,species
Sphaerocystis planctonica,Sphaerocystis,planctonica,species
Staurosira construens,Staurosira,construens,species
Tetrastrum staurogeniaeforme,Tetrastrum,staurogeniaeforme,species
Ulnaria ulna,Ulnaria,ulna,species
cf. Westella botryoides,Westella,botryoides,species
