"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"DI-SAV-2",2017-07-31,"11:01","MICROZOOPLANKTON","Rotifers",24,1,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","MICROZOOPLANKTON","Barnacles",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","MICROZOOPLANKTON","Copepod nauplii",351,1,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","MICROZOOPLANKTON","Ostracods",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Cyclopoid adult",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Cyclopoid copepodid",91,1,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Diacyclops thomasi",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Ectocyclops phaleratus",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Eucyclops spp.",3,1,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Limnoithona copepodid",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Limnoithona sinensis",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Limnoithona spp.",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Limnoithona tetraspina",2,1,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Mesocyclops edax",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Microcyclops rubellus",10,1,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Monospilus",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Oithona copepodid",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Oithona davisae",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Oithona similis",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Oithona spp.",0,0,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CYCLOPOIDS","Paracyclops SPP.",1,1,85,33,85,3
"DI-SAV-2",2017-07-31,"11:01","CALANOIDS","Acartia copepodid",0,0,85,33,85,3
