"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"DI-WAT-1",2017-09-27,"11:55","MICROZOOPLANKTON","Rotifers",31,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","MICROZOOPLANKTON","Barnacles",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","MICROZOOPLANKTON","Copepod nauplii",342,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","MICROZOOPLANKTON","Ostracods",6,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Cyclopoid adult",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Cyclopoid copepodid",30,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Diacyclops thomasi",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Ectocyclops phaleratus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Eucyclops elegans",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Limnoithona copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Limnoithona sinensis",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Limnoithona spp.",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Limnoithona tetraspina",8,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Macrocyclops albidus",1,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Mesocyclops edax",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Microcyclops rubellus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Monospilus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Oithona copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Oithona davisae",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Oithona similis",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Oithona spp.",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CYCLOPOIDS","Paracyclops chiltoni",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Acartia copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Acartia spp.",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Acartiella copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Acartiella sinensis",2,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Calanoid copepodid",159,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Diaptomus copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Diaptomus spp.",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Eurytemora affinis adult",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Eurytemora affinis copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Osphranticum copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Osphranticum labronectum",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Pseudodiaptomus forbesi adult",1,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Pseudodiaptomus forbesi copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Sinocalanus doerrii adult",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Sinocalanus doerrii copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Skistodiaptomus pallidus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Tortanus copepodid",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CALANOIDS","Tortanus spp.",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Alona",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Alonella",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Bosmina",10,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Camptocercus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Ceriodaphnia",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Chydorus",3,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Daphnia",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Diaphanosoma",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Disparalona",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Eurycercus",1,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Graptoleberis",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Ilyocryptus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Kurzia",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Leydigia",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Macrothrix",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Moina",1,1,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Monospilus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Picripleuroxus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Pleuroxus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Pseudochydorus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Scaphloberis",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Sida",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","CLADOCERA","Simocephalus",0,0,48,48,50,NA
"DI-WAT-1",2017-09-27,"11:55","HARPACTICOIDS","HARPACTICOIDS",0,0,48,48,50,NA
