"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"FI-SAV-2",2018-01-11,"13:43","MICROZOOPLANKTON","Rotifers",232,1,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","MICROZOOPLANKTON","Barnacles",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","MICROZOOPLANKTON","Copepod nauplii",333,1,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","MICROZOOPLANKTON","Ostracods",10,1,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Acanthocyclops vernalis adult",2,1,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Cyclopoid adult",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Cyclopoid copepodid",49,1,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Diacyclops thomasi",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Ectocyclops phaleratus",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Eucyclops prionophorus",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Limnoithona copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Limnoithona sinensis",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Limnoithona spp.",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Limnoithona tetraspina",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Mesocyclops edax",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Microcyclops rubellus",3,1,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Monospilus",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Oithona copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Oithona davisae",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Oithona similis",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Oithona spp.",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CYCLOPOIDS","Paracyclops fimbriatus",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Acartia copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Acartia spp.",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Acartiella copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Acartiella sinensis",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Arctodiaptomus dorsalis",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Calanoid copepodid",49,1,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Diaptomus copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Diaptomus spp.",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Eurytemora affinis adult",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Eurytemora affinis copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Leptodiaptomus siciloides",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Osphranticum copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Osphranticum labronectum",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Pseudodiaptomus forbesi adult",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Pseudodiaptomus forbesi copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Sinocalanus doerrii adult",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Sinocalanus doerrii copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Skistodiaptomus pallidus",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Tortanus copepodid",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CALANOIDS","Tortanus spp.",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CLADOCERA","Alona",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CLADOCERA","Alonella",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CLADOCERA","Bosmina",3,1,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CLADOCERA","Camptocercus",9,1,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CLADOCERA","Ceriodaphnia",0,0,52,NA,52,NA
"FI-SAV-2",2018-01-11,"13:43","CLADOCERA","Chydorus",101,1,52,NA,52,NA
