"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"FI-WAT-1",2018-02-08,"13:13","MICROZOOPLANKTON","Rotifers",95,1,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","MICROZOOPLANKTON","Barnacles",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","MICROZOOPLANKTON","Copepod nauplii",207,1,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","MICROZOOPLANKTON","Ostracods",1,1,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Cyclopoid adult",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Cyclopoid copepodid",10,1,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Diacyclops thomasi",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Ectocyclops phaleratus",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Eucyclops pectinifer",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Limnoithona copepodid",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Limnoithona sinensis",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Limnoithona spp.",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Limnoithona tetraspina",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Macrocyclops albidus",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Mesocyclops edax",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Microcyclops rubellus",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Monospilus",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Oithona copepodid",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Oithona davisae",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Oithona similis",0,0,41,NA,41,NA
"FI-WAT-1",2018-02-08,"13:13","CYCLOPOIDS","Oithona spp.",0,0,41,NA,41,NA
