"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"FI_SAV_2",2017-06-05,"14:56","MICROZOOPLANKTON","Rotifers",44,1,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","MICROZOOPLANKTON","Barnacles",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","MICROZOOPLANKTON","Copepod nauplii",285,1,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","MICROZOOPLANKTON","Ostracods",27,1,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Cyclopoid adult",10,1,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Cyclopoid copepodid",63,1,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Diacyclops thomasi",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Ectocyclops phaleratus",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Eucyclops pectinifer",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Limnoithona copepodid",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Limnoithona sinensis",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Limnoithona spp.",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Limnoithona tetraspina",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Mesocyclops edax",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Microcyclops rubellus",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Monospilus sp.",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Oithona copepodid",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Oithona davisae",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Oithona similis",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Oithona spp.",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Paracyclops chiltoni",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CYCLOPOIDS","Paracyclops sp.",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CALANOIDS","Acartia copepodid",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CALANOIDS","Acartia spp.",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CALANOIDS","Acartiella copepodid",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CALANOIDS","Acartiella sinensis",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CALANOIDS","Calanoid adult",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CALANOIDS","Calanoid copepodid",88,1,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CALANOIDS","Diaptomus copepodid",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CALANOIDS","Diaptomus spp.",0,0,97,3,97,1
"FI_SAV_2",2017-06-05,"14:56","CALANOIDS","Eurytemora affinis adult",0,0,97,3,97,1
