"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"LH-SAV-2",2017-11-30,"14:26","MICROZOOPLANKTON","Rotifers",58,1,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","MICROZOOPLANKTON","Barnacles",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","MICROZOOPLANKTON","Copepod nauplii",257,1,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","MICROZOOPLANKTON","Ostracods",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Cyclopoid adult",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Cyclopoid copepodid",27,1,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Diacyclops thomasi",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Ectocyclops phaleratus",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Eucyclops agilis",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Limnoithona copepodid",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Limnoithona sinensis",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Limnoithona spp.",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Limnoithona tetraspina",6,1,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Mesocyclops edax",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Microcyclops rubellus",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Monospilus",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Oithona copepodid",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Oithona davisae",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Oithona similis",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Oithona spp.",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CYCLOPOIDS","Paracyclops sp.",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CALANOIDS","Acartia copepodid",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CALANOIDS","Acartia spp.",0,0,55,NA,55,NA
"LH-SAV-2",2017-11-30,"14:26","CALANOIDS","Acartiella copepodid",0,0,55,NA,55,NA
