"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"DI-WAT-1",2017-08-30,"12:05","MICROZOOPLANKTON","Rotifers",14,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","MICROZOOPLANKTON","Barnacles",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","MICROZOOPLANKTON","Copepod nauplii",284,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","MICROZOOPLANKTON","Ostracods",3,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Cyclopoid adult",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Cyclopoid copepodid",42,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Diacyclops thomasi",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Ectocyclops phaleratus",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Eucyclops agilis",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Limnoithona copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Limnoithona sinensis",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Limnoithona spp.",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Limnoithona tetraspina",10,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Mesocyclops edax",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Microcyclops rubellus",2,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Monospilus",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Oithona copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Oithona davisae",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Oithona similis",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Oithona spp.",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CYCLOPOIDS","Paracyclops sp.",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Acartia copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Acartia spp.",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Acartiella copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Acartiella sinensis",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Calanoid copepodid",177,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Diaptomus copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Diaptomus spp.",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Eurytemora affinis adult",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Eurytemora affinis copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Leptodiaptomus siciloides",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Osphranticum copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Osphranticum labronectum",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Pseudodiaptomus forbesi adult",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Pseudodiaptomus forbesi copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Sinocalanus doerrii adult",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Sinocalanus doerrii copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Skistodiaptomus pallidus",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Tortanus copepodid",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CALANOIDS","Tortanus spp.",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Alona",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Alonella",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Bosmina",2,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Camptocercus",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Ceriodaphnia",2,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Chydorus",1,1,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Daphnia",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Diaphanosoma",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Disparalona",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Eurycercus",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Graptoleberis",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Ilyocryptus",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Kurzia",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Leydigia",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Macrothrix",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Moina",0,0,80,8,80,2
"DI-WAT-1",2017-08-30,"12:05","CLADOCERA","Monospilus",0,0,80,8,80,2
