"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"FI-SAV-1",2018-02-08,"13:36","MICROZOOPLANKTON","Rotifers",83,1,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","MICROZOOPLANKTON","Barnacles",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","MICROZOOPLANKTON","Copepod nauplii",255,1,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","MICROZOOPLANKTON","Ostracods",2,1,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Cyclopoid adult",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Cyclopoid copepodid",4,1,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Diacyclops thomasi",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Ectocyclops phaleratus",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Eucyclops",1,1,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Limnoithona copepodid",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Limnoithona sinensis",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Limnoithona spp.",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Limnoithona tetraspina",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Macrocyclops albidus",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Mesocyclops edax",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Microcyclops rubellus",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Monospilus",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Oithona copepodid",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Oithona davisae",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Oithona similis",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Oithona spp.",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CYCLOPOIDS","Paracyclops sp.",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CALANOIDS","Acartia copepodid",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CALANOIDS","Acartia spp.",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CALANOIDS","Acartiella copepodid",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CALANOIDS","Acartiella sinensis",0,0,50,50,50,33
"FI-SAV-1",2018-02-08,"13:36","CALANOIDS","Arctodiaptomus dorsalis",0,0,50,50,50,33
