"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"FI-WAT-2",2018-02-08,"14:04","MICROZOOPLANKTON","Rotifers",28,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MICROZOOPLANKTON","Barnacles",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MICROZOOPLANKTON","Copepod nauplii",330,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MICROZOOPLANKTON","Ostracods",4,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Cyclopoid adult",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Cyclopoid copepodid",7,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Diacyclops thomasi",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Ectocyclops phaleratus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Eucyclops pectinifer",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Limnoithona copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Limnoithona sinensis",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Limnoithona spp.",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Limnoithona tetraspina",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Macrocyclops albidus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Mesocyclops edax",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Microcyclops rubellus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Monospilus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Oithona copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Oithona davisae",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Oithona similis",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Oithona spp.",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CYCLOPOIDS","Paracyclops sp.",1,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Acartia copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Acartia spp.",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Acartiella copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Acartiella sinensis",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Arctodiaptomus dorsalis",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Calanoid copepodid",16,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Diaptomus copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Diaptomus spp.",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Eurytemora affinis adult",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Eurytemora affinis copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Leptodiaptomus siciloides",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Osphranticum copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Osphranticum labronectum",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Pseudodiaptomus forbesi adult",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Pseudodiaptomus forbesi copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Sinocalanus doerrii adult",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Sinocalanus doerrii copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Skistodiaptomus pallidus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CALANOIDS","Tortanus copepodid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Alona",1,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Alonella",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Bosmina",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Camptocercus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Ceriodaphnia",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Chydorus",37,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Daphnia",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Diaphanosoma",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Disparalona",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Eurycercus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Graptoleberis",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Ilyocryptus",3,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Kurzia",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Leydigia",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Macrothrix",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Moina",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Monospilus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Picripleuroxus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Pleuroxus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Pseudochydorus",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Scaphloberis",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Sida",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Simocephalus",5,1,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","CLADOCERA","Immature Cladoceran",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","HARPACTICOIDS","HARPACTICOIDS",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Americorophium",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Annelid",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Baby Clam",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Baby snail",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Clam",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Corophium spp.",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Cumacean",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Fish",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Fish eggs",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Gammarus spp.",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Insect larvae",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Isopod",0,0,38,38,38,8
"FI-WAT-2",2018-02-08,"14:04","MACROZOOPLANKTON","Larval Fish",0,0,38,38,38,8
