"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"LH-SAV-2",2018-01-11,"12:30","MICROZOOPLANKTON","Rotifers",327,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MICROZOOPLANKTON","Barnacles",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MICROZOOPLANKTON","Copepod nauplii",310,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MICROZOOPLANKTON","Ostracods",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Cyclopoid adult",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Cyclopoid copepodid",75,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Diacyclops thomasi",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Ectocyclops phaleratus",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Eucyclops pectinifer",1,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Limnoithona copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Limnoithona sinensis",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Limnoithona spp.",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Limnoithona tetraspina",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Mesocyclops edax",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Microcyclops rubellus",7,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Monospilus",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Oithona copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Oithona davisae",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Oithona similis",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Oithona spp.",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CYCLOPOIDS","Paracyclops sp.",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Acartia copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Acartia spp.",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Acartiella copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Acartiella sinensis",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Arctodiaptomus dorsalis",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Calanoid copepodid",59,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Diaptomus copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Diaptomus spp.",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Eurytemora affinis adult",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Eurytemora affinis copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Leptodiaptomus siciloides",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Osphranticum copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Osphranticum labronectum",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Pseudodiaptomus forbesi adult",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Pseudodiaptomus forbesi copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Sinocalanus doerrii adult",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Sinocalanus doerrii copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Skistodiaptomus pallidus",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Tortanus copepodid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CALANOIDS","Tortanus spp.",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Alona",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Alonella",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Bosmina",28,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Camptocercus",1,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Ceriodaphnia",1,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Chydorus",29,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Daphnia",2,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Diaphanosoma",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Disparalona",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Eurycercus",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Graptoleberis",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Ilyocryptus",1,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Kurzia",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Leydigia",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Macrothrix",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Moina",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Monospilus",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Picripleuroxus",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Pleuroxus",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Pseudochydorus",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Scaphloberis",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Sida",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","CLADOCERA","Simocephalus",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","HARPACTICOIDS","HARPACTICOIDS",1,1,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MACROZOOPLANKTON","Americorophium",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MACROZOOPLANKTON","Annelid",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MACROZOOPLANKTON","Baby Clam",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MACROZOOPLANKTON","Baby snail",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MACROZOOPLANKTON","Clam",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MACROZOOPLANKTON","Corophium spp.",0,0,35,20,35,5
"LH-SAV-2",2018-01-11,"12:30","MACROZOOPLANKTON","Cumacean",0,0,35,20,35,5
