"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"LH_SAV_2",2017-06-05,"16:27","MICROZOOPLANKTON","Rotifers",116,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","MICROZOOPLANKTON","Barnacles",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","MICROZOOPLANKTON","Copepod nauplii",279,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","MICROZOOPLANKTON","Ostracods",7,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Acanthocyclops vernalis adult",1,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Cyclopoid adult",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Cyclopoid copepodid",176,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Diacyclops thomasi",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Ectocyclops phaleratus",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Eucyclops",2,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Limnoithona copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Limnoithona sinensis",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Limnoithona spp.",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Limnoithona tetraspina",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Mesocyclops edax",3,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Microcyclops rubellus",20,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Monospilus sp.",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Oithona copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Oithona davisae",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Oithona similis",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Oithona spp.",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Paracyclops chiltoni",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CYCLOPOIDS","Paracyclops sp.",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Acartia copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Acartia spp.",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Acartiella copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Acartiella sinensis",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Calanoid adult",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Calanoid copepodid",8,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Diaptomus copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Diaptomus spp.",1,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Eurytemora affinis adult",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Eurytemora affinis copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Osphranticum copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Osphranticum labronectum",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Pseudodiaptomus forbesi adult",1,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Pseudodiaptomus forbesi copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Sinocalanus doerrii adult",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Sinocalanus doerrii copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Skistodiaptomus pallidus",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Tortanus copepodid",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CALANOIDS","Tortanus spp.",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Alona",3,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Alonella",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Bosmina",1,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Camptocercus",1,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Ceriodaphnia",10,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Chydorus",3,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Daphnia",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Diaphanosoma",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Disparalona",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Eurycercus",4,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Graptoleberis",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Ilyocryptus",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Kurzia",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Leydigia",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Macrothrix",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Moina",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Monospilus",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Picripleuroxus",1,1,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Pleuroxus",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Scaphloberis",0,0,101,0.2,101,0.2
"LH_SAV_2",2017-06-05,"16:27","CLADOCERA","Sida",0,0,101,0.2,101,0.2
