"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"LH_WAT_2",2017-06-05,"16:15","MICROZOOPLANKTON","Rotifers",15,1,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","MICROZOOPLANKTON","Barnacles",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","MICROZOOPLANKTON","Copepod nauplii",318,1,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","MICROZOOPLANKTON","Ostracods",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Cyclopoid adult",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Cyclopoid copepodid",6,1,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Diacyclops thomasi",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Ectocyclops phaleratus",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Eucyclops",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Limnoithona copepodid",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Limnoithona sinensis",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Limnoithona spp.",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Limnoithona tetraspina",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Mesocyclops edax",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Microcyclops rubellus",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Monospilus sp.",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Oithona copepodid",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Oithona davisae",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Oithona similis",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Oithona spp.",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Paracyclops chiltoni",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CYCLOPOIDS","Paracyclops sp.",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Acartia copepodid",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Acartia spp.",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Acartiella copepodid",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Acartiella sinensis",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Calanoid adult",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Calanoid copepodid",166,1,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Diaptomus copepodid",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Diaptomus spp.",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Eurytemora affinis adult",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Eurytemora affinis copepodid",0,0,63,1.2,63,0.14
"LH_WAT_2",2017-06-05,"16:15","CALANOIDS","Osphranticum copepodid",0,0,63,1.2,63,0.14
