"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"DI_SAV_1",2017-05-25,"08:56","MICROZOOPLANKTON","Rotifers",28,1,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","MICROZOOPLANKTON","Barnacles",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","MICROZOOPLANKTON","Copepod nauplii",273,1,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","MICROZOOPLANKTON","Ostracods",12,1,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Acanthocyclops vernalis adult",7,1,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Cyclopoid adult",1,1,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Cyclopoid copepodid",110,1,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Diacyclops thomasi",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Ectocyclops phaleratus",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Eucyclops prionophorus",3,1,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Limnoithona copepodid",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Limnoithona sinensis",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Limnoithona spp.",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Limnoithona tetraspina",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Mesocyclops edax",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Microcyclops rubellus",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Monospilus",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Oithona copepodid",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Oithona davisae",0,0,113,2.6,113,2
"DI_SAV_1",2017-05-25,"08:56","CYCLOPOIDS","Oithona similis",0,0,113,2.6,113,2
