sample,date,time,category,taxon,count,subsamples,v1_ml,sub1_ml,v2_ml,sub2_ml
DI-WAT-2,1/10/2018,12:10,MICROZOOPLANKTON,Rotifers,167,1,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,MICROZOOPLANKTON,Barnacles,0,0,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,MICROZOOPLANKTON,Copepod nauplii,251,1,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,MICROZOOPLANKTON,Ostracods,1,1,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Acanthocyclops vernalis adult,1,1,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Acanthocyclops vernalis copepodid,0,0,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Cyclopoid adult,0,0,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Cyclopoid copepodid,44,1,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Diacyclops thomasi,1,1,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Ectocyclops phaleratus,0,0,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Eucyclops sp.,1,1,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Limnoithona copepodid,0,0,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Limnoithona sinensis,0,0,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Limnoithona spp.,0,0,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Limnoithona tetraspina,9,1,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Mesocyclops edax,0,0,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Microcyclops rubellus,2,1,82,40.0,82,14.0
DI-WAT-2,1/10/2018,12:10,CYCLOPOIDS,Monospilus,0,0,82,40.0,82,14.0
