sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
DI_SAV_1,2018-07-09,14:50,MICROZOOPLANKTON & NAUPLII,Rotifers,24.0,1.0,43,5,43.0,2.7
DI_SAV_1,2018-07-09,14:50,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,362.0,1.0,43,5,43.0,2.7
DI_SAV_1,2018-07-09,14:50,MICROZOOPLANKTON & NAUPLII,Ostracods,1.0,1.0,43,5,43.0,2.7
DI_SAV_1,2018-07-09,14:50,CYCLOPOIDS,Cyclopoid copepodid,41.0,1.0,43,5,43.0,2.7
DI_SAV_1,2018-07-09,14:50,CYCLOPOIDS,Limnoithona tetraspina,9.0,1.0,43,5,43.0,2.7
DI_SAV_1,2018-07-09,14:50,CALANOIDS,Calanoid copepodid,115.0,1.0,43,5,43.0,2.7
DI_SAV_1,2018-07-09,14:50,CALANOIDS,Pseudodiaptomus forbesi adult,1.0,1.0,43,5,43.0,2.7
DI_SAV_1,2018-07-09,14:50,CLADOCERA,Alona,1,1.0,43,5,43.0,2.7
DI_SAV_1,2018-07-09,14:50,CLADOCERA,Daphnia,1,1.0,43,5,43.0,2.7
DI_SAV_1,2018-07-09,14:50,HARPACTICOIDS,Harpacticoids,34,1.0,43,5,43.0,2.7
