sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
DI_WAT_2,2018-08-08,17:50,MICROZOOPLANKTON & NAUPLII,Rotifers,12,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,329,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,MICROZOOPLANKTON & NAUPLII,Ostracods,2,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,CYCLOPOIDS,Cyclopoid copepodid,48,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,CYCLOPOIDS,Limnoithona tetraspina,38,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,CYCLOPOIDS,Microcyclops rubellus,1,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,CALANOIDS,Calanoid copepodid,123,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,CLADOCERA,Bosmina,3,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,CLADOCERA,Camptocercus,1,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,CLADOCERA,Chydorus,13,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,CLADOCERA,Sida,1,1.0,65,2.4,65.0,14
DI_WAT_2,2018-08-08,17:50,HARPACTICOIDS,Harpacticoids,1,1.0,65,2.4,65.0,14
