sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FC_SAV_2,2018-08-08,15:45,MICROZOOPLANKTON & NAUPLII,Rotifers,77,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,261,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,MICROZOOPLANKTON & NAUPLII,Ostracods,15,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CYCLOPOIDS,Cyclopoid copepodid,32,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CYCLOPOIDS,Eucyclops pectinifer,2,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CYCLOPOIDS,Limnoithona tetraspina,2,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CALANOIDS,Calanoid copepodid,11,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CALANOIDS,Pseudodiaptomus forbesi adult,6,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CLADOCERA,Alonella,1,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CLADOCERA,Chydorus,16,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CLADOCERA,Diaphanosoma,2,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CLADOCERA,Sida,2,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,CLADOCERA,Simocephalus,2,1.0,39,0.6,39.0,0.6
FC_SAV_2,2018-08-08,15:45,HARPACTICOIDS,Harpacticoids,1,1.0,39,0.6,39.0,0.6
