sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FC_WAT_2,2018-10-17,15:04,MICROZOOPLANKTON & NAUPLII,Rotifers,12.0,1.0,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,344.0,1.0,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,MICROZOOPLANKTON & NAUPLII,Ostracods,2.0,1.0,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CYCLOPOIDS,Cyclopoid copepodid,73.0,1.0,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CYCLOPOIDS,Limnoithona tetraspina,26.0,1.0,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CYCLOPOIDS,Microcyclops rubellus,5.0,1.0,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CALANOIDS,Calanoid copepodid,46.0,1.0,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CALANOIDS,Pseudodiaptomus forbesi adult,12.0,1.0,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CLADOCERA,Alona,5,,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CLADOCERA,Alonella,7,,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CLADOCERA,Bosmina,4,,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CLADOCERA,Camptocercus,2,,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CLADOCERA,Ceriodaphnia,2,,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CLADOCERA,Chydorus,11,,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CLADOCERA,Diaphanosoma,1,,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CLADOCERA,Picripleuroxus,1,,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,CLADOCERA,Simocephalus,8,,52,25,52.0,10
FC_WAT_2,2018-10-17,15:04,HARPACTICOIDS,Harpacticoids,5,,52,25,52.0,10
