sample,date,time,category,taxon,count,subsamples,v1_ml,sub1_ml,v2_ml,sub2_ml
FI-SAV-1,10/30/2017,15:27,MICROZOOPLANKTON,Rotifers,30,1,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,MICROZOOPLANKTON,Barnacles,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,MICROZOOPLANKTON,Copepod nauplii,313,1,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,MICROZOOPLANKTON,Ostracods,1,1,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Acanthocyclops vernalis adult,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Acanthocyclops vernalis copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Cyclopoid adult,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Cyclopoid copepodid,7,1,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Diacyclops thomasi,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Ectocyclops phaleratus,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Eucyclops pectinifer,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Limnoithona copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Limnoithona sinensis,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Limnoithona spp.,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Limnoithona tetraspina,7,1,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Mesocyclops edax,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Microcyclops rubellus,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Monospilus,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Oithona copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Oithona davisae,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Oithona similis,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Oithona spp.,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CYCLOPOIDS,Paracyclops sp.,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Acartia copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Acartia spp.,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Acartiella copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Acartiella sinensis,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Calanoid copepodid,205,1,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Diaptomus copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Diaptomus spp.,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Eurytemora affinis adult,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Eurytemora affinis copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Osphranticum copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Osphranticum labronectum,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Pseudodiaptomus forbesi adult,1,1,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Pseudodiaptomus forbesi copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Sinocalanus doerrii adult,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Sinocalanus doerrii copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Skistodiaptomus pallidus,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Tortanus copepodid,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CALANOIDS,Tortanus spp.,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CLADOCERA,Alona,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CLADOCERA,Alonella,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CLADOCERA,Bosmina,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CLADOCERA,Camptocercus,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CLADOCERA,Ceriodaphnia,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CLADOCERA,Chydorus,9,1,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CLADOCERA,Daphnia,0,0,56,1.5,56,1.0
FI-SAV-1,10/30/2017,15:27,CLADOCERA,Diaphanosoma,1,1,56,1.5,56,1.0
