"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"FI-SAV-2",2017-08-02,"17:08","MICROZOOPLANKTON","Rotifers",93,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MICROZOOPLANKTON","Barnacles",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MICROZOOPLANKTON","Copepod nauplii",219,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","MICROZOOPLANKTON","Ostracods",62,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Cyclopoid adult",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Cyclopoid copepodid",64,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Diacyclops thomasi",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Ectocyclops phaleratus",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Eucyclops",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Limnoithona copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Limnoithona sinensis",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Limnoithona spp.",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Limnoithona tetraspina",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Mesocyclops edax",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Microcyclops rubellus",13,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Monospilus",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Oithona copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Oithona davisae",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Oithona similis",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Oithona spp.",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CYCLOPOIDS","Paracyclops poppei",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Acartia copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Acartia spp.",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Acartiella copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Acartiella sinensis",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Calanoid copepodid",10,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Diaptomus copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Diaptomus spp.",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Eurytemora affinis adult",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Eurytemora affinis copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Osphranticum copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Osphranticum labronectum",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Pseudodiaptomus forbesi adult",56,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Pseudodiaptomus forbesi copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Sinocalanus doerrii adult",1,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Sinocalanus doerrii copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Skistodiaptomus pallidus",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Tortanus copepodid",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CALANOIDS","Tortanus spp.",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Alona",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Alonella",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Bosmina",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Camptocercus",3,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Ceriodaphnia",11,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Chydorus",67,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Daphnia",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Diaphanosoma",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Disparalona",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Eurycercus",0,0,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Graptoleberis",1,1,75,0.5,75,0.4
"FI-SAV-2",2017-08-02,"17:08","CLADOCERA","Ilyocryptus",0,0,75,0.5,75,0.4
