sample,date,time,category,taxon,count,subsamples,v1_ml,sub1_ml,v2_ml,sub2_ml
FI-WAT-2,11/30/2017,15:37,MICROZOOPLANKTON,Rotifers,145,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MICROZOOPLANKTON,Barnacles,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MICROZOOPLANKTON,Copepod nauplii,140,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MICROZOOPLANKTON,Ostracods,17,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Acanthocyclops vernalis adult,1,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Acanthocyclops vernalis copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Cyclopoid adult,83,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Cyclopoid copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Diacyclops thomasi,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Ectocyclops phaleratus,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Eucyclops pectinifer,1,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Limnoithona copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Limnoithona sinensis,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Limnoithona spp.,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Limnoithona tetraspina,2,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Mesocyclops edax,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Microcyclops rubellus,22,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Monospilus,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Oithona copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Oithona davisae,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Oithona similis,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Oithona spp.,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CYCLOPOIDS,Paracyclops chiltoni,1,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Acartia copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Acartia spp.,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Acartiella copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Acartiella sinensis,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Arctodiaptomus dorsalis,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Calanoid copepodid,11,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Diaptomus copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Diaptomus spp.,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Eurytemora affinis adult,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Eurytemora affinis copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Leptodiaptomus siciloides,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Osphranticum copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Osphranticum labronectum,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Pseudodiaptomus forbesi adult,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Pseudodiaptomus forbesi copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Sinocalanus doerrii adult,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Sinocalanus doerrii copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Skistodiaptomus pallidus,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Tortanus copepodid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CALANOIDS,Tortanus spp.,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Alona,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Alonella,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Bosmina,5,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Camptocercus,3,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Ceriodaphnia,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Chydorus,73,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Daphnia,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Diaphanosoma,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Disparalona,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Eurycercus,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Graptoleberis,2,1,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Ilyocryptus,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Kurzia,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Leydigia,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Macrothrix,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Moina,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Monospilus,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Picripleuroxus,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Pleuroxus,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Scaphloberis,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Sida,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,CLADOCERA,Simocephalus,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,HARPACTICOIDS,HARPACTICOIDS,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MACROZOOPLANKTON,Americorophium,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MACROZOOPLANKTON,Annelid,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MACROZOOPLANKTON,Baby Clam,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MACROZOOPLANKTON,Baby snail,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MACROZOOPLANKTON,Clam,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MACROZOOPLANKTON,Corophium spp.,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MACROZOOPLANKTON,Cumacean,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MACROZOOPLANKTON,Fish,0,0,122,1.4,122,11.0
FI-WAT-2,11/30/2017,15:37,MACROZOOPLANKTON,Fish eggs,0,0,122,1.4,122,11.0
