sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FI_SAV_2,2018-10-16,12:55,MICROZOOPLANKTON & NAUPLII,Rotifers,21.0,1.0,24,8,24.0,0.9
FI_SAV_2,2018-10-16,12:55,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,284.0,1.0,24,8,24.0,0.9
FI_SAV_2,2018-10-16,12:55,MICROZOOPLANKTON & NAUPLII,Ostracods,2.0,1.0,24,8,24.0,0.9
FI_SAV_2,2018-10-16,12:55,CYCLOPOIDS,Cyclopoid copepodid,26.0,1.0,24,8,24.0,0.9
FI_SAV_2,2018-10-16,12:55,CYCLOPOIDS,Limnoithona tetraspina,7.0,1.0,24,8,24.0,0.9
FI_SAV_2,2018-10-16,12:55,CALANOIDS,Calanoid copepodid,141.0,1.0,24,8,24.0,0.9
FI_SAV_2,2018-10-16,12:55,CLADOCERA,Ceriodaphnia,2,1.0,24,8,24.0,0.9
FI_SAV_2,2018-10-16,12:55,CLADOCERA,Chydorus,5,1.0,24,8,24.0,0.9
FI_SAV_2,2018-10-16,12:55,CLADOCERA,Diaphanosoma,1,1.0,24,8,24.0,0.9
FI_SAV_2,2018-10-16,12:55,HARPACTICOIDS,Harpacticoids,21,1.0,24,8,24.0,0.9
