sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FI_WAT_1,2018-06-06,12:13,MICROZOOPLANKTON & NAUPLII,Rotifers,48,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,517,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CYCLOPOIDS,Cyclopoid copepodid,11,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CYCLOPOIDS,Microcyclops rubellus,2,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CALANOIDS,Acartiella sinensis,6,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CALANOIDS,Calanoid copepodid,155,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CALANOIDS,Pseudodiaptomus forbesi adult,6,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CALANOIDS,Sinocalanus doerrii adult,7,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CLADOCERA,Bosmina,6,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CLADOCERA,Camptocercus,1,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CLADOCERA,Ceriodaphnia,7,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CLADOCERA,Daphnia,1,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,CLADOCERA,Diaphanosoma,1,1.0,42,2,42.0,1
FI_WAT_1,2018-06-06,12:13,HARPACTICOIDS,Harpacticoids,2,1.0,42,2,42.0,1
