"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"LH-SAV-1",2017-08-02,"14:53","MICROZOOPLANKTON","Rotifers",219,1,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","MICROZOOPLANKTON","Barnacles",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","MICROZOOPLANKTON","Copepod nauplii",282,1,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","MICROZOOPLANKTON","Ostracods",117,1,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Acanthocyclops vernalis adult",1,1,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Cyclopoid adult",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Cyclopoid copepodid",114,1,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Diacyclops thomasi",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Ectocyclops phaleratus",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Eucyclops elegans",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Limnoithona copepodid",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Limnoithona sinensis",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Limnoithona spp.",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Limnoithona tetraspina",11,1,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Mesocyclops edax",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Microcyclops rubellus",5,1,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Monospilus",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Oithona copepodid",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Oithona davisae",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Oithona similis",0,0,128,1,128,1
"LH-SAV-1",2017-08-02,"14:53","CYCLOPOIDS","Oithona spp.",0,0,128,1,128,1
