sample,date,time,category,taxon,count,subsamples,v1_ml,sub1_ml,v2_ml,sub2_ml
LH-SAV-2,10/30/2017,13:18,MICROZOOPLANKTON,Rotifers,11,1,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,MICROZOOPLANKTON,Barnacles,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,MICROZOOPLANKTON,Copepod nauplii,351,1,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,MICROZOOPLANKTON,Ostracods,1,1,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Acanthocyclops vernalis adult,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Acanthocyclops vernalis copepodid,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Cyclopoid adult,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Cyclopoid copepodid,26,1,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Diacyclops thomasi,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Ectocyclops phaleratus,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Eucyclops spp.,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Limnoithona copepodid,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Limnoithona sinensis,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Limnoithona spp.,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Limnoithona tetraspina,3,1,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Macrocyclops albidus,1,1,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Mesocyclops edax,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Microcyclops rubellus,1,1,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Monospilus,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Oithona copepodid,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Oithona davisae,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Oithona similis,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Oithona spp.,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CYCLOPOIDS,Paracyclops chiltoni,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CALANOIDS,Acartia copepodid,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CALANOIDS,Acartia spp.,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CALANOIDS,Acartiella copepodid,0,0,79,0.9,79,0.6
LH-SAV-2,10/30/2017,13:18,CALANOIDS,Acartiella sinensis,0,0,79,0.9,79,0.6
