"sample","date","time","category","taxon","count","subsamples","v1_ml","sub1_ml","v2_ml","sub2_ml"
"LH-WAT-1",2017-08-02,"14:20","MICROZOOPLANKTON","Rotifers",46,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","MICROZOOPLANKTON","Barnacles",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","MICROZOOPLANKTON","Copepod nauplii",294,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","MICROZOOPLANKTON","Ostracods",8,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Acanthocyclops vernalis adult",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Acanthocyclops vernalis copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Cyclopoid adult",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Cyclopoid copepodid",57,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Diacyclops thomasi",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Ectocyclops phaleratus",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Eucyclops",2,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Limnoithona copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Limnoithona sinensis",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Limnoithona spp.",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Limnoithona tetraspina",3,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Mesocyclops edax",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Microcyclops rubellus",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Monospilus",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Oithona copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Oithona davisae",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Oithona similis",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Oithona spp.",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CYCLOPOIDS","Paracyclops",4,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Acartia copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Acartia spp.",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Acartiella copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Acartiella sinensis",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Calanoid copepodid",108,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Diaptomus copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Diaptomus spp.",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Eurytemora affinis adult",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Eurytemora affinis copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Osphranticum copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Osphranticum labronectum",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Pseudodiaptomus forbesi adult",4,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Pseudodiaptomus forbesi copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Sinocalanus doerrii adult",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Sinocalanus doerrii copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Skistodiaptomus pallidus",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Tortanus copepodid",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CALANOIDS","Tortanus spp.",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Alona",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Alonella",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Bosmina",2,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Camptocercus",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Ceriodaphnia",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Chydorus",19,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Daphnia",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Diaphanosoma",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Disparalona",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Eurycercus",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Graptoleberis",1,1,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Ilyocryptus",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Kurzia",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Leydigia",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Macrothrix",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Moina",0,0,83,3.2,83,1.2
"LH-WAT-1",2017-08-02,"14:20","CLADOCERA","Monospilus",0,0,83,3.2,83,1.2
