sample,date,time,category,taxon,count,subsamples,v1_ml,sub1_ml,v2_ml,sub2_ml
LH-WAT-2,9/28/2017,14:55,MICROZOOPLANKTON,Rotifers,32,1,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,MICROZOOPLANKTON,Barnacles,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,MICROZOOPLANKTON,Copepod nauplii,294,1,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,MICROZOOPLANKTON,Ostracods,1,1,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Acanthocyclops vernalis adult,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Acanthocyclops vernalis copepodid,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Cyclopoid adult,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Cyclopoid copepodid,32,1,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Diacyclops thomasi,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Ectocyclops phaleratus,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Eucyclops spp.,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Limnoithona copepodid,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Limnoithona sinensis,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Limnoithona spp.,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Limnoithona tetraspina,14,1,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Mesocyclops edax,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Microcyclops rubellus,3,1,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Monospilus,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Oithona copepodid,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Oithona davisae,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Oithona similis,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Oithona spp.,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CYCLOPOIDS,Paracyclops chitoni,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CALANOIDS,Acartia copepodid,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CALANOIDS,Acartia spp.,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CALANOIDS,Acartiella copepodid,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CALANOIDS,Acartiella sinensis,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CALANOIDS,Calanoid copepodid,166,1,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CALANOIDS,Diaptomus copepodid,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CALANOIDS,Diaptomus spp.,0,0,48,4.0,48,2
LH-WAT-2,9/28/2017,14:55,CALANOIDS,Eurytemora affinis adult,0,0,48,4.0,48,2
