sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
LH_SAV_2,2018-08-07,16:30,MICROZOOPLANKTON & NAUPLII,Rotifers,43.0,1.0,36,4,36.0,4
LH_SAV_2,2018-08-07,16:30,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,517.0,1.0,36,4,36.0,4
LH_SAV_2,2018-08-07,16:30,MICROZOOPLANKTON & NAUPLII,Ostracods,9.0,1.0,36,4,36.0,4
LH_SAV_2,2018-08-07,16:30,CYCLOPOIDS,Limnoithona tetraspina,5.0,1.0,36,4,36.0,4
LH_SAV_2,2018-08-07,16:30,CALANOIDS,Calanoid copepodid,188.0,1.0,36,4,36.0,4
LH_SAV_2,2018-08-07,16:30,CLADOCERA,Alona,1,1.0,36,4,36.0,4
LH_SAV_2,2018-08-07,16:30,CLADOCERA,Bosmina,3,1.0,36,4,36.0,4
LH_SAV_2,2018-08-07,16:30,CLADOCERA,Ceriodaphnia,1,1.0,36,4,36.0,4
LH_SAV_2,2018-08-07,16:30,CLADOCERA,Chydorus,1,1.0,36,4,36.0,4
LH_SAV_2,2018-08-07,16:30,CLADOCERA,Diaphanosoma,2,1.0,36,4,36.0,4
