sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
LH_WAT_1,2018-12-17,14:15,MICROZOOPLANKTON & NAUPLII,Rotifers,76.0,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,256.0,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,MICROZOOPLANKTON & NAUPLII,Ostracods,2.0,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CYCLOPOIDS,Cyclopoid copepodid,34.0,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CYCLOPOIDS,Diacyclops thomasi,1.0,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CYCLOPOIDS,Eucyclops pectinifer,4.0,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CALANOIDS,Calanoid copepodid,13.0,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CLADOCERA,Alona,4,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CLADOCERA,Alonella,2,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CLADOCERA,Bosmina,1,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CLADOCERA,Camptocercus,3,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CLADOCERA,Ceriodaphnia,1,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CLADOCERA,Chydorus,121,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,CLADOCERA,Graptoleberis,17,1.0,24,3.2,24.0,0.8
LH_WAT_1,2018-12-17,14:15,HARPACTICOIDS,Harpacticoids,3,1.0,24,3.2,24.0,0.8
