sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
USGS_5,2018-05-08,14:00,MICROZOOPLANKTON & NAUPLII,Rotifers,10.0,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,552.0,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CYCLOPOIDS,Cyclopoid copepodid,28.0,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CALANOIDS,Calanoid copepodid,212.0,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CALANOIDS,Eurytemora affinis adult,2.0,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CLADOCERA,Alona,1,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CLADOCERA,Alonella,1,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CLADOCERA,Bosmina,4,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CLADOCERA,Ceriodaphnia,1,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CLADOCERA,Chydorus,4,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CLADOCERA,Daphnia,1,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CLADOCERA,Graptoleberis,1,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CLADOCERA,Picripleuroxus,1,1.0,23,2,23.0,1
USGS_5,2018-05-08,14:00,CLADOCERA,Pleuroxus,1,1.0,23,2,23.0,1
