sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
DI_WAT_1_QAQC,2018-06-05,09:45,MICROZOOPLANKTON & NAUPLII,Rotifers,3.0,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,383.0,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,MICROZOOPLANKTON & NAUPLII,Ostracods,1.0,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,CYCLOPOIDS,Cyclopoid copepodid,5.0,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,CYCLOPOIDS,Eucyclops,1.0,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,CALANOIDS,Calanoid copepodid,130.0,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,CALANOIDS,Eurytemora affinis adult,1.0,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,CALANOIDS,Pseudodiaptomus forbesi adult,85.0,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,CALANOIDS,Sinocalanus doerrii adult,2.0,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,CLADOCERA,Bosmina,5,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,CLADOCERA,Camptocercus,1,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,CLADOCERA,Sida,1,1.0,43,3.3,43.0,1.3
DI_WAT_1_QAQC,2018-06-05,09:45,HARPACTICOIDS,Harpacticoids,6,1.0,43,3.3,43.0,1.3
