sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FC_WAT_1_QAQC,2018-05-07,12:15,MICROZOOPLANKTON & NAUPLII,Rotifers,7.0,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,327.0,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,MICROZOOPLANKTON & NAUPLII,Ostracods,1.0,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CYCLOPOIDS,Cyclopoid copepodid,26.0,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CYCLOPOIDS,Microcyclops rubellus,1.0,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CALANOIDS,Calanoid copepodid,160.0,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CALANOIDS,Eurytemora affinis adult,2.0,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Alona,2,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Alonella,3,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Bosmina,37,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Camptocercus,2,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Chydorus,15,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Eurycercus,2,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Graptoleberis,3,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Picripleuroxus,4,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Sida,1,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,CLADOCERA,Simocephalus,1,1.0,26,3,26.0,1
FC_WAT_1_QAQC,2018-05-07,12:15,HARPACTICOIDS,Harpacticoids,5,1.0,26,3,26.0,1
