sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FI_SAV_2_QAQC,2018-06-06,12:28,MICROZOOPLANKTON & NAUPLII,Rotifers,28.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,337.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,MICROZOOPLANKTON & NAUPLII,Ostracods,1.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CYCLOPOIDS,Cyclopoid copepodid,28.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CYCLOPOIDS,Eucyclops pectinifer,1.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CYCLOPOIDS,Microcyclops rubellus,1.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CALANOIDS,Calanoid copepodid,127.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CALANOIDS,Eurytemora affinis adult,1.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CALANOIDS,Pseudodiaptomus forbesi adult,3.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CALANOIDS,Sinocalanus doerrii adult,6.0,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CLADOCERA,Alona,2,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CLADOCERA,Alonella,5,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CLADOCERA,Bosmina,7,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CLADOCERA,Ceriodaphnia,10,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CLADOCERA,Chydorus,3,1.0,42,1.7,42.0,0.2
FI_SAV_2_QAQC,2018-06-06,12:28,CLADOCERA,Graptoleberis,1,1.0,42,1.7,42.0,0.2
