sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
FI_WAT_1_QAQC,2018-08-07,17:20,MICROZOOPLANKTON & NAUPLII,Rotifers,39.0,1.0,51,1,51.0,0.7
FI_WAT_1_QAQC,2018-08-07,17:20,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,357.0,1.0,51,1,51.0,0.7
FI_WAT_1_QAQC,2018-08-07,17:20,MICROZOOPLANKTON & NAUPLII,Ostracods,5.0,1.0,51,1,51.0,0.7
FI_WAT_1_QAQC,2018-08-07,17:20,CYCLOPOIDS,Cyclopoid copepodid,11.0,1.0,51,1,51.0,0.7
FI_WAT_1_QAQC,2018-08-07,17:20,CYCLOPOIDS,Limnoithona tetraspina,2.0,1.0,51,1,51.0,0.7
FI_WAT_1_QAQC,2018-08-07,17:20,CALANOIDS,Calanoid copepodid,227.0,1.0,51,1,51.0,0.7
FI_WAT_1_QAQC,2018-08-07,17:20,CLADOCERA,Ceriodaphnia,2,1.0,51,1,51.0,0.7
FI_WAT_1_QAQC,2018-08-07,17:20,CLADOCERA,Chydorus,1,1.0,51,1,51.0,0.7
FI_WAT_1_QAQC,2018-08-07,17:20,CLADOCERA,Diaphanosoma,3,1.0,51,1,51.0,0.7
FI_WAT_1_QAQC,2018-08-07,17:20,CLADOCERA,Simocephalus,1,1.0,51,1,51.0,0.7
