sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
LH_SAV-1_QAQC,2018-04-10,14:35,MICROZOOPLANKTON & NAUPLII,Rotifers,86,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,307,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,MICROZOOPLANKTON & NAUPLII,Ostracods,1,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CYCLOPOIDS,Acanthocyclops vernalis adult,1,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CYCLOPOIDS,Cyclopoid copepodid,50,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CYCLOPOIDS,Diacyclops thomasi,3,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CYCLOPOIDS,Eucyclops spp.,1,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CALANOIDS,Calanoid copepodid,50,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CALANOIDS,Eurytemora affinis adult,2,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CALANOIDS,Sinocalanus doerrii adult,1,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Alona,4,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Alonella,1,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Bosmina,18,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Camptocercus,2,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Ceriodaphnia,2,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Chydorus,58,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Daphnia,1,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Disparalona,1,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Graptoleberis,12,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,CLADOCERA,Ilyocryptus,1,1.0,36,4,36.0,1.3
LH_SAV-1_QAQC,2018-04-10,14:35,HARPACTICOIDS,Harpacticoids,2,1.0,36,4,36.0,1.3
