sample,date,time,category,taxon,count,subsample,v1_ml,sub1_ml,v2_ml,sub2_ml
LH_SAV_1_QAQC,2018-06-06,10:25,MICROZOOPLANKTON & NAUPLII,Rotifers,36,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,MICROZOOPLANKTON & NAUPLII,Copepod nauplii,354,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,MICROZOOPLANKTON & NAUPLII,Ostracods,2,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CYCLOPOIDS,Acanthocyclops vernalis adult,3,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CYCLOPOIDS,Cyclopoid copepodid,26,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CYCLOPOIDS,Eucyclops,4,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CYCLOPOIDS,Macrocyclops albidus,2,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CYCLOPOIDS,Microcyclops rubellus,2,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CALANOIDS,Calanoid copepodid,89,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CALANOIDS,Pseudodiaptomus forbesi adult,13,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CALANOIDS,Sinocalanus doerrii adult,2,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Alona,4,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Alonella,6,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Bosmina,14,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Camptocercus,4,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Ceriodaphnia,13,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Chydorus,9,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Diaphanosoma,1,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Graptoleberis,2,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Monospilus,1,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Sida,1,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,CLADOCERA,Simocephalus,1,1.0,48,8,48.0,1.4
LH_SAV_1_QAQC,2018-06-06,10:25,HARPACTICOIDS,Harpacticoids,9,1.0,48,8,48.0,1.4
