sample,date,sample_month,time_pdt,tow1_length_m,tow1_sub_area_prop,tow2_length_m,tow2_sub_area_prop,tow3_length_m,tow3_sub_area_prop,tow4_length_m,tow4_sub_area_prop
FI-SAV-1,5/23/2017,5,14:53,4,1,4,1,4,1,4,1
FI-WAT-1,5/23/2017,5,14:18,4,1,3,1,3.5,1,3.5,1
LH-SAV-1,5/23/2017,5,13:10,4,1,4,0.7,4,1,4,1
LH-WAT-1,5/23/2017,5,13:40,2.5,1,4,1,4,1,4,1
DI-SAV-1,5/25/2017,5,8:56,4,0.5,4,0.5,4,0.75,4,0.5
DI-WAT-1,5/25/2017,5,8:14,4,1,4,1,4,1,4,1
FI-SAV-1,6/5/2017,6,13:55,5,1,5,1,5,1,4,1
FI-SAV-2,6/5/2017,6,14:56,5,1,4.5,1,5,1,4,1
FI-WAT-1,6/5/2017,6,14:35,5,1,5,1,5,1,5,1
FI-WAT-2,6/5/2017,6,15:09,4,1,4,1,5.5,1,5.5,1
LH-SAV-1,6/5/2017,6,15:40,5,1,5,1,5,1,5.5,1
LH-SAV-2,6/5/2017,6,16:27,5,1,5,1,5,1,5,1
LH-WAT-1,6/5/2017,6,15:55,5,1,5,1,5,1,4,1
LH-WAT-2,6/5/2017,6,16:15,5,1,5,1,5.5,1,5.5,1
DI-SAV-1,6/7/2017,6,13:10,5,1,5,1,5,1,5,1
DI-WAT-1,6/7/2017,6,12:42,5,1,4,1,5,1,5,1
DI-SAV-2,6/7/2017,6,11:10,5,0.1,5,0.7,4,0.25,3,0.5
DI-WAT-2,6/7/2017,6,11:35,5,1,5,1,5,1,5,1
LH-SAV-1,6/29/2017,7,8:20,5.5,1,5.5,1,5.5,1,5,1
LH-SAV-2,6/29/2017,7,8:55,5,1,6,1,6,1,5,1
LH-WAT-1,6/29/2017,7,8:05,5.5,1,4.5,1,4,1,5.5,1
LH-WAT-2,6/29/2017,7,8:40,4,1,5.5,1,6,1,6,1
FI-SAV-2,6/29/2017,7,9:25,5,1,7,1,7,1,5,1
FI-SAV-1,6/30/2017,7,9:15,5,1,4,1,5,1,4.5,1
FI-SAV-2,6/30/2017,7,9:45,5.5,1,4,1,5.5,1,5,1
FI-WAT-1,6/30/2017,7,9:00,4.5,1,5,1,4.5,1,4.5,1
FI-WAT-2,6/30/2017,7,10:10,5,1,5.5,1,4.5,1,5.5,1
DI-SAV-1,7/31/2017,8,8:50,5,1,5,1,5,1,5,1
DI-SAV-2,7/31/2017,8,10:58,5.5,1,5.5,1,4,1,5,1
DI-WAT-1,7/31/2017,8,8:13,5.5,1,4,1,5,1,5,1
DI-WAT-2,7/31/2017,8,11:22,5,1,5,1,5,1,4.5,1
FI-SAV-1,8/2/2017,8,16:24,5,1,5,1,5,1,5,1
FI-SAV-2,8/2/2017,8,17:08,5,1,4,1,5,1,5,1
FI-WAT-1,8/2/2017,8,15:44,5,1,5,1,5,1,5,1
FI-WAT-2,8/2/2017,8,17:34,5,1,5,1,5,1,5,1
LH-SAV-1,8/2/2017,8,14:55,5,1,3,0.8,5,1,4,1
