Category,Taxon
Calanoids,Acartia copepodid
Calanoids,Acartia spp.
Calanoids,Acartiella copepodid
Calanoids,Acartiella sinensis
Calanoids,Aglaodiaptomus forbesi
Calanoids,Arctodiaptomus dorsalis
Calanoids,Calanoid adult
Calanoids,Calanoid copepodid
Calanoids,Diaptomus copepodid
Calanoids,Diaptomus spp.
Calanoids,Eurytemora affinis adult
Calanoids,Eurytemora affinis copepodid
Calanoids,Hesperodiaptomus cf. californiensis
Calanoids,Hesperodiaptomus franciscanus
Calanoids,Hesperodiaptomus sp.
Calanoids,Leptodiaptomus siciloides
Calanoids,Osphranticum copepodid
Calanoids,Osphranticum labronectum
Calanoids,Pseudodiaptomus forbesi adult
Calanoids,Pseudodiaptomus forbesi copepodid
Calanoids,Sinocalanus doerrii adult
Calanoids,Sinocalanus doerrii copepodid
Calanoids,Skistodiaptomus pallidus
Calanoids,Tortanus copepodid
Calanoids,Tortanus spp.
Cladocera,Alona
Cladocera,Alonella
Cladocera,Bosmina
Cladocera,Camptocercus
Cladocera,Ceriodaphnia
Cladocera,Chydorus
Cladocera,Daphnia
Cladocera,Diaphanosoma
Cladocera,Disparalona
Cladocera,Eurycercus
Cladocera,Graptoleberis
Cladocera,Ilyocryptus
Cladocera,Immature Cladoceran
Cladocera,Kurzia
Cladocera,Leydigia
Cladocera,Macrothrix
Cladocera,Moina
Cladocera,Monospilus
Cladocera,Picripleuroxus
Cladocera,Pleuroxus
Cladocera,Pseudochydorus
Cladocera,Scaphloberis
Cladocera,Sida
Cladocera,Simocephalus
Cyclopoids,Acanthocyclops vernalis adult
Cyclopoids,Acanthocyclops vernalis copepodid
Cyclopoids,Cyclopoid adult
Cyclopoids,Cyclopoid copepodid
Cyclopoids,Diacyclops thomasi
Cyclopoids,Ectocyclops phaleratus
Cyclopoids,Ergasilus sp.
Cyclopoids,Eucyclops
Cyclopoids,Eucyclops agilis
Cyclopoids,Eucyclops elegans
Cyclopoids,Eucyclops pectinifer
Cyclopoids,Eucyclops prionophorus
Cyclopoids,Eucyclops sp.
Cyclopoids,Eucyclops spp.
Cyclopoids,Limnoithona copepodid
Cyclopoids,Limnoithona sinensis
Cyclopoids,Limnoithona spp.
Cyclopoids,Limnoithona tetraspina
Cyclopoids,Macrocyclops albidus
Cyclopoids,Macrocyclops sp.
Cyclopoids,Macrocyclops spp.
Cyclopoids,Mesocyclops edax
Cyclopoids,Microcyclops rubellus
Cyclopoids,Microcyclops spp.
Cyclopoids,Monospilus
Cyclopoids,Monospilus sp.
Cyclopoids,Oithona copepodid
Cyclopoids,Oithona davisae
Cyclopoids,Oithona similis
Cyclopoids,Oithona spp.
Cyclopoids,Paracyclops
Cyclopoids,Paracyclops chiltoni
Cyclopoids,Paracyclops fimbriatus
Cyclopoids,Paracyclops poppei
Cyclopoids,Paracyclops sp.
Cyclopoids,Paracyclops spp.
Cyclopoids,Tropocyclops prasinus
Cyclopoids,Tropocyclops sp.
Harpacticoids,Harpacticoids
Macrozooplankton,Americorophium
Macrozooplankton,Annelid
Macrozooplankton,Baby Clam
Macrozooplankton,Baby snail
Macrozooplankton,Clam
Macrozooplankton,Corophium spp.
Macrozooplankton,Cumacean
Macrozooplankton,Fish
Macrozooplankton,Fish eggs
Macrozooplankton,Gammarus spp.
Macrozooplankton,Insect larvae
Macrozooplankton,Isopod
Macrozooplankton,Larval Fish
Macrozooplankton,Mysids
Macrozooplankton,Shrimp
Macrozooplankton,Snail
Microzooplankton,Barnacles
Microzooplankton,Copepod nauplii
Microzooplankton,Ostracods
Microzooplankton,Rotifers
